12,jack,2020-05-28 02:47:46,"b'Fact check: there is someone ultimately accountable for our actions as a company, and that\xe2\x80\x99s me. Please leave our employees out of this. We\xe2\x80\x99ll continue to point out incorrect or disputed information about elections globally. And we will admit to and own any mistakes we make.'"
12,jack,2020-05-26 13:27:09,b'Incredible book by @stewartbrand. Best I\xe2\x80\x99ve read this year. \n\n\xe2\x80\x9cCities are green. Nuclear energy is green. Genetic engineering is green.\xe2\x80\x9d \n\nhttps://t.co/4pk0xFTA6M'
12,jack,2020-05-23 17:37:11,b'https://t.co/VwWbiI9YTV'
12,jack,2020-05-22 19:54:33,b'\xf0\x9f\x8d\x95'
12,jack,2020-05-21 13:21:14,b'Here\xe2\x80\x99s our podcast talking about it and a few other things: https://t.co/x90i2I89No'
12,jack,2020-05-21 13:21:13,"b'$5mm to @HumanityForward to immediately distribute small cash grants of $250 to nearly 20,000 people who\xe2\x80\x99ve lost their jobs or taken an economic hit as a result of the COVID-19 pandemic. Thank you @AndrewYang! https://t.co/ABTJDpAcLx'"
12,jack,2020-05-21 03:53:32,b'COVID-19: New Zealand PM flags four-day working week to boost its shuttered economy #Coronavirus https://t.co/QA0SDeHN8Y'
12,jack,2020-05-21 02:57:51,b'https://t.co/QnV5kTDtrE'
12,jack,2020-05-20 21:05:10,b'Kara please reply if you think we should do another interview https://t.co/fko822FTAT'
12,jack,2020-05-20 19:02:51,"b'(sorry, Maine)'"
12,jack,2020-05-20 18:53:39,b'Starting to test reply controls today.\n\nMay enable some new use cases like panel discussions or more focused live Q&amp;As. Or just a \xe2\x80\x9cdon\xe2\x80\x99t @me\xe2\x80\x9d that actually works.\n\n(we\xe2\x80\x99ll be watching for the negative impacts too) https://t.co/05Py7cB1i5'
12,jack,2020-05-20 01:43:10,b'https://t.co/Mj7TYqLCK7'
12,jack,2020-05-20 01:36:54,b'\xf0\x9f\x8c\x9e https://t.co/GNkSWBcrfV'
12,jack,2020-05-18 19:33:50,"b'You can now do automatic recurring purchases of #bitcoin in @CashApp. Daily, weekly, or every 2 weeks. And change the display to sats. #stackingsats https://t.co/kOlxQtkuwd'"
12,jack,2020-05-15 20:38:52,"b'$720k to @KakenyasDream to help protect girls in rural Kenya as their schools are closed due to COVID-19. This will also provide distance learning and supplies, and a new and larger Health Clinic for when they return. https://t.co/xTBEjl0mCJ'"
12,jack,2020-05-15 20:38:51,b'$450k to @ThinkOf_Us to help deploy urgently needed resources to older foster youth in danger of falling further through the cracks of an ailing child welfare system due to COVID-19. https://t.co/1DCkiJHySz'
12,jack,2020-05-15 20:38:51,b'$500k to @MayvennHair to provide $500 to each of their stylists across the country get back on their feet. Their stylists are predominantly black women who are losing most or all of their income due to COVID-19. #savethesalon https://t.co/nrsMiaoYcc'
